,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,Created Date
0,"Learn how capital markets can prepare for the future with AI.

Link → https://t.co/JaPJpQ0jdV via @Forbes 

#DeepLearning #DataScience #Coding #DL #MachineLearning #ML #AI #ArtificialIntelligence #100DaysOfCode #womenwhocode #100DaysOfMLCode https://t.co/SYFmnAwmy8",appengine_ai,"['DeepLearning', 'DataScience', 'Coding', 'DL', 'MachineLearning', 'ML', 'AI', 'ArtificialIntelligence', '100DaysOfCode', 'womenwhocode', '100DaysOfMLCode']",35,17,https://twitter.com/appengine_ai/status/1369792779015122944,2021-03-10
1,"Artificial intelligence leads NATO's new strategy for emerging and disruptive tech - C4ISRNet

Read more here: https://t.co/YdurmZH5TX

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",IainLJBrown,"['ArtificialIntelligence', 'AI', 'DataScience', '100DaysOfCode', 'Python', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",35,16,https://twitter.com/IainLJBrown/status/1371248121951444994,2021-03-14
2,"Artificial intelligence leads NATO's new strategy for emerging and disruptive tech - C4ISRNet

Read more here: https://t.co/P0Nzu7rXFz

#ArtificialIntelligence #AI #DataScience #MachineLearning #BigData #100DaysOfCode #Python #DeepLearning #NLP #Robots #IoT",BenjaminP3ters,"['ArtificialIntelligence', 'AI', 'DataScience', 'MachineLearning', 'BigData', '100DaysOfCode', 'Python', 'DeepLearning', 'NLP', 'Robots', 'IoT']",34,12,https://twitter.com/BenjaminP3ters/status/1371244271387480067,2021-03-14
3,"Python for Machine Learning with Numpy, Pandas and Matplotlib ($29.99 to FREE) #DataScience #Python #IoT #BigData #100DaysOfCode #blockchain #ArtificialIntelligence #CloudComputing #programming #DeepLearning #Serverless #MachineLearning #Linux #ML #…
https://t.co/yDILGtd9bQ",jucktion,"['DataScience', 'Python', 'IoT', 'BigData', '100DaysOfCode', 'blockchain', 'ArtificialIntelligence', 'CloudComputing', 'programming', 'DeepLearning', 'Serverless', 'MachineLearning', 'Linux', 'ML']",25,10,https://twitter.com/jucktion/status/1370521471555153920,2021-03-12
4,Fundamentals of Machine Learning ($19.99 to Free) #ArtificialIntelligence #100DaysOfCode #programming #blockchain #CloudComputing #MachineLearning #IoT #DeepLearning #Python #BigData #Serverless #ML #Linux #AI #JavaScript #DataScience https://t.co/8jm4NqegG5  #Javascript,javascriptflx,"['ArtificialIntelligence', '100DaysOfCode', 'programming', 'blockchain', 'CloudComputing', 'MachineLearning', 'IoT', 'DeepLearning', 'Python', 'BigData', 'Serverless', 'ML', 'Linux', 'AI', 'JavaScript', 'DataScience', 'Javascript']",25,6,https://twitter.com/javascriptflx/status/1370524843758718981,2021-03-12
5,Google BigQuery/PostgreSQL for Data Analysis ($29.99 to FREE) #JavaScript #Python #Linux #programming #100DaysOfCode #ArtificialIntelligence #BigData #IoT #Serverless #ML #DeepLearning #DataScience #MachineLearning #CloudComputing #AI #blockchain https://t.co/KYD6uRxR8Q,jucktion,"['JavaScript', 'Python', 'Linux', 'programming', '100DaysOfCode', 'ArtificialIntelligence', 'BigData', 'IoT', 'Serverless', 'ML', 'DeepLearning', 'DataScience', 'MachineLearning', 'CloudComputing', 'AI', 'blockchain']",23,10,https://twitter.com/jucktion/status/1370521860673314816,2021-03-12
6,"Deep Claim: Payer Response Prediction from Claims Data with #DeepLearning 

https://t.co/85F8EAj9mS by @Synced_Global
#AI
Cc @andi_staub @psb_dc @guzmand @mvollmer1 @NexWebSites @HaroldSinnott @jblefevre60 @Nicochan33 @pierrepinna https://t.co/JDdpw3P0rE",ipfconline1,"['DeepLearning', 'AI']",13,10,https://twitter.com/ipfconline1/status/1369796486091964417,2021-03-10
7,"Artificial intelligence leads NATO's new strategy for emerging and disruptive tech - C4ISRNet

Read more here: https://t.co/bg4MMkAVUT

#ArtificialIntelligence #AI #DataScience #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",SuzanneC0leman,"['ArtificialIntelligence', 'AI', 'DataScience', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",12,5,https://twitter.com/SuzanneC0leman/status/1371245645353353221,2021-03-14
8,At face value: Using facial analysis algorithm to track changes due to Parkinson's disease | #AI #HealthCare #Neurology #ComputerVision #Parkinson #MachineLearning #DeepLearning https://t.co/PZd1rmPR8O,_M_Dey,"['AI', 'HealthCare', 'Neurology', 'ComputerVision', 'Parkinson', 'MachineLearning', 'DeepLearning']",7,5,https://twitter.com/_M_Dey/status/1372164354074800129,2021-03-17
9,"An Overview of Current Trends, Techniques, Prospects, and Pitfalls of Artificial -  https://t.co/cNoMmDLdZZ #deeplearning #intoAInews",into_AI,"['deeplearning', 'intoAInews']",5,3,https://twitter.com/into_AI/status/1369800056107335684,2021-03-10
