,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
10,"Laser weapon with amazing accuracy. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Emergency #robotics #SocialMedia https://t.co/OEPrhCLbIJ",Innovat78455398,1364000631824945156,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Emergency', 'robotics', 'SocialMedia']",2021-02-22 23:54:27+08:00,15,7,no images,['https://t.co/OEPrhCLbIJ']
11,"This chair helps you at #outdoor #concert. #DEVCommunity #Programming #IoT  #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #robotics #SocialMedia #engineering https://t.co/vu9BTPuudF",Innovat78455398,1364001140853985282,"['outdoor', 'concert', 'DEVCommunity', 'Programming', 'IoT', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'robotics', 'SocialMedia', 'engineering']",2021-02-22 23:56:28+08:00,13,5,no images,['https://t.co/vu9BTPuudF']
12,"This is what wheel gun for #Formular1. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Emergency #robotics #SocialMedia https://t.co/Dn6PKI6wqn",Innovat78455398,1364001553523253250,"['Formular1', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Emergency', 'robotics', 'SocialMedia']",2021-02-22 23:58:06+08:00,13,4,no images,['https://t.co/Dn6PKI6wqn']
13,RDBMS Concepts for Data Science Aspirants https://t.co/xTctO9YsA6  #machinelearning #ad,machinelearnflx,1363274153315491843,"['machinelearning', 'ad']",2021-02-20 23:47:41+08:00,12,9,no images,['https://t.co/xTctO9YsA6']
14,"Most common learning scenarios in Machine Learning-

👉Supervised 
👉Unsupervised
👉Semi-supervised
👉Transductive inference
👉On-line
👉Reinforcement 
👉Active

What did I miss?🤔

Happy Coding❤️

#coding #love #MachineLearning #javascript #100DaysOfCode #Python #DataScience #ai",last_crusaderr,1364103041914261504,"['coding', 'love', 'MachineLearning', 'javascript', '100DaysOfCode', 'Python', 'DataScience', 'ai']",2021-02-23 06:41:23+08:00,11,6,no images,[]
15,How Important Is Data Quality In Machine Learning? #MachineLearning #learning  https://t.co/rca3DQeYMj,neuzida,1363275520461451265,"['MachineLearning', 'learning']",2021-02-20 23:53:07+08:00,11,3,no images,['https://t.co/rca3DQeYMj']
16,"Rick speaks the truth😂
#code #coding #javascript #python #datascience #programming #programmer  #100daysofcode #webdev #webdevelopment #php #linux #css #programmingmemes #codinglife #codingpics #programmingjokes #java #ide #machinelearning #AI #virtualreality #rickandmorty https://t.co/dAkj8b5Hlu",anoushk77,1364102445903806467,"['code', 'coding', 'javascript', 'python', 'datascience', 'programming', 'programmer', '100daysofcode', 'webdev', 'webdevelopment', 'php', 'linux', 'css', 'programmingmemes', 'codinglife', 'codingpics', 'programmingjokes', 'java', 'ide', 'machinelearning', 'AI', 'virtualreality', 'rickandmorty']",2021-02-23 06:39:01+08:00,10,8,['http://pbs.twimg.com/media/Eu5D8dlXUAUKV6V.jpg'],['https://t.co/dAkj8b5Hlu']
17,"From Text to Knowledge: The Information Extraction Pipeline.

https://t.co/1KHh7SVQ3q…

#MachineLearning #Python #IoT #flutter #100DaysOfMLCode #AI #javascript #womenwhocode #RStats #Serverless #CodeNewbie #DataScience #100DaysOfCode https://t.co/tanSnqZFY5",New081082,1364104244307980293,"['MachineLearning', 'Python', 'IoT', 'flutter', '100DaysOfMLCode', 'AI', 'javascript', 'womenwhocode', 'RStats', 'Serverless', 'CodeNewbie', 'DataScience', '100DaysOfCode']",2021-02-23 06:46:10+08:00,9,4,no images,"['https://t.co/1KHh7SVQ3q…', 'https://t.co/tanSnqZFY5']"
18,The Morning After: Big tech may face antitrust lawsuits from the DOJ: #BigData #MachineLearning #AI #IoT MT @Mikequindazzi https://t.co/DcA5MB88dS https://t.co/s6EPsCAoWD,AremDzemal,1363276943324557314,"['BigData', 'MachineLearning', 'AI', 'IoT']",2021-02-20 23:58:46+08:00,8,10,['http://pbs.twimg.com/media/EutVGJRWQAEjty6.jpg'],"['https://t.co/DcA5MB88dS', 'https://t.co/s6EPsCAoWD']"
19,You need to pay my work payment. Send my last work amount of $450. This is ridiculous you didn't pay me last two months.#100daysofcodechallenge  #Machinelearning #IoT #100DaysOfMLCode #Python #javascript #Nodejs #Serverless #womenwhocode #cybersecurity #jobs #dev #CodeNewbie https://t.co/YNgN8prGsN,DeveloperShakil,1361827583143284740,"['100daysofcodechallenge', 'Machinelearning', 'IoT', '100DaysOfMLCode', 'Python', 'javascript', 'Nodejs', 'Serverless', 'womenwhocode', 'cybersecurity', 'jobs', 'dev', 'CodeNewbie']",2021-02-16 23:59:32+08:00,8,3,no images,['https://t.co/YNgN8prGsN']
20,"#Ladybug by #drawing looks real in a box. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #Science #futureofwork #Pencildrawing https://t.co/vwTsACSYqN",Innovat78455398,1361826953507045376,"['Ladybug', 'drawing', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'Science', 'futureofwork', 'Pencildrawing']",2021-02-16 23:57:01+08:00,8,3,no images,['https://t.co/vwTsACSYqN']
21,Nice presentation by Bruno @chemistryatuvic #GSRD on the application of #Raman spectroscopy and #MachineLearning to identify different types of carbon. Supported by partnership with Epic Ventures @MitacsCanada and OSHTECH (https://t.co/glrlaxmicr) @NSERC_CRSNG https://t.co/F5O77gp4lD,agbrolo,1362189144240234497,"['GSRD', 'Raman', 'MachineLearning']",2021-02-17 23:56:14+08:00,7,29,['http://pbs.twimg.com/media/EudorDQWYAAH4cT.jpg'],"['https://t.co/glrlaxmicr)', 'https://t.co/F5O77gp4lD']"
22,"Does your cat play hide and seek? This @hacksterio project details how to use ESP32s, @Raspberry_Pi, BLE Beacons, and #machinelearning to track pets to any room of the house. https://t.co/fAMO3sRDVo https://t.co/VQ6HtkRi3X",Avnet,1362550220773597192,['machinelearning'],2021-02-18 23:51:02+08:00,7,7,['http://pbs.twimg.com/media/EujANEPXMAANwAB.jpg'],"['https://t.co/fAMO3sRDVo', 'https://t.co/VQ6HtkRi3X']"
23,"Why are multiple leading enterprises transitioning to service orchestration and automation platforms? Sign up for our latest webinar to learn more about this Top 2021 IT Trend: https://t.co/DImAecGccv

#machinelearning #bigdata #programming #computing #STEM #IT https://t.co/LL8VuFMSho",ComputerSociety,1363638638647644161,"['machinelearning', 'bigdata', 'programming', 'computing', 'STEM', 'IT']",2021-02-21 23:56:01+08:00,7,5,['http://pbs.twimg.com/media/EuyeHVlWYAIm4SC.jpg'],"['https://t.co/DImAecGccv', 'https://t.co/LL8VuFMSho']"
24,".@coinbase is hiring: Staff Software Engineer, Machine Learning Platform #RemoteWork 🇺🇸 #machinelearning #remote #ml https://t.co/JAAFV58fOs",jobhunt_ai,1362910341034897408,"['RemoteWork', 'machinelearning', 'remote', 'ml']",2021-02-19 23:42:01+08:00,7,3,no images,['https://t.co/JAAFV58fOs']
25,AWS Certified Big Data - Speciality Certification https://t.co/222ZmV560U  #machinelearning #ad,machinelearnflx,1362551730467176449,"['machinelearning', 'ad']",2021-02-18 23:57:02+08:00,6,5,no images,['https://t.co/222ZmV560U']
